signal_date,ticker,name,condition_id,matched_conditions,foreign_net_sell_streak,foreign_qty,foreign_net_sell_2d_qty,foreign_net_sell_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-05-13,000660,SK하이닉스,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-917859,-2552452,-3007031,12.88,1976000,2026-05-14,1976000,0.00,1970000,-0.30,1745000,-11.69,2289000,15.84,,,상승 지속,"D+1(2026-05-14) 시가 +0.00%, 종가 -0.30%; D+5 -11.69%; D+10 +15.84%"
2026-05-13,005930,삼성전자,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-5675844,-13500077,-21497999,15.97,284000,2026-05-14,282000,-0.70,296000,4.23,276000,-2.82,299500,5.46,,,상승 지속,"D+1(2026-05-14) 시가 -0.70%, 종가 +4.23%; D+5 -2.82%; D+10 +5.46%"
2026-05-13,402340,SK스퀘어,foreign_sell_streak_10,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",10,-95147,-121839,-214915,9.37,1190000,2026-05-14,1183000,-0.59,1171000,-1.60,1029000,-13.53,1237000,3.95,,,상승,"D+1(2026-05-14) 시가 -0.59%, 종가 -1.60%; D+5 -13.53%; D+10 +3.95%"
2026-05-13,005935,삼성전자우,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct",2,-86078,-2056240,-732339,1.42,189100,2026-05-14,189100,0.00,193700,2.43,177800,-5.98,190900,0.95,,,상승,"D+1(2026-05-14) 시가 +0.00%, 종가 +2.43%; D+5 -5.98%; D+10 +0.95%"
2026-05-13,012330,현대모비스,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-251400,-671623,-913807,14.36,649000,2026-05-14,680000,4.78,650000,0.15,535000,-17.57,686000,5.70,,,상승 지속,"D+1(2026-05-14) 시가 +4.78%, 종가 +0.15%; D+5 -17.57%; D+10 +5.70%"
2026-05-13,010170,대한광통신,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-4528183,-7300685,-4165380,13.13,24750,2026-05-14,25500,3.03,24750,0.00,22900,-7.47,23250,-6.06,,,하락 전환,"D+1(2026-05-14) 시가 +3.03%, 종가 +0.00%; D+5 -7.47%; D+10 -6.06%"
2026-05-13,439960,코스모로보틱스,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all",3,-49021,-69893,-667336,0.48,40550,2026-05-14,47300,16.65,52700,29.96,56200,38.59,41300,1.85,,,상승,"D+1(2026-05-14) 시가 +16.65%, 종가 +29.96%; D+5 +38.59%; D+10 +1.85%"
2026-05-13,319400,현대무벡스,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct",3,-66390,-69852,-882969,0.90,43650,2026-05-14,46000,5.38,43850,0.46,32350,-25.89,37450,-14.20,,,하락 전환,"D+1(2026-05-14) 시가 +5.38%, 종가 +0.46%; D+5 -25.89%; D+10 -14.20%"
2026-05-13,011070,LG이노텍,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-131976,-189102,-182992,30.29,753000,2026-05-14,760000,0.93,760000,0.93,760000,0.93,1134000,50.60,,,상승 지속,"D+1(2026-05-14) 시가 +0.93%, 종가 +0.93%; D+5 +0.93%; D+10 +50.60%"
2026-05-13,086280,현대글로비스,foreign_sell_streak_13,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",13,-152312,-182117,-329312,13.73,284000,2026-05-14,286000,0.70,263000,-7.39,210500,-25.88,233000,-17.96,,,하락 전환,"D+1(2026-05-14) 시가 +0.70%, 종가 -7.39%; D+5 -25.88%; D+10 -17.96%"
2026-05-13,010140,삼성중공업,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-1416994,-6339000,-4639316,19.20,31050,2026-05-14,31250,0.64,30150,-2.90,27650,-10.95,28400,-8.53,,,하락 전환,"D+1(2026-05-14) 시가 +0.64%, 종가 -2.90%; D+5 -10.95%; D+10 -8.53%"
2026-05-13,006800,미래에셋증권,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-506914,-1259681,-2074990,17.73,72900,2026-05-14,73700,1.10,72300,-0.82,62000,-14.95,62000,-14.95,,,하락 전환,"D+1(2026-05-14) 시가 +1.10%, 종가 -0.82%; D+5 -14.95%; D+10 -14.95%"
2026-05-13,079550,LIG디펜스앤에어로스페이스,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-23475,-32575,-37643,10.12,873000,2026-05-14,861000,-1.37,878000,0.57,833000,-4.58,856000,-1.95,,,보합,"D+1(2026-05-14) 시가 -1.37%, 종가 +0.57%; D+5 -4.58%; D+10 -1.95%"
2026-05-13,105560,KB금융,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-33186,-320291,-263552,2.58,152000,2026-05-14,153500,0.99,156000,2.63,151700,-0.20,149700,-1.51,,,보합,"D+1(2026-05-14) 시가 +0.99%, 종가 +2.63%; D+5 -0.20%; D+10 -1.51%"
2026-05-13,036930,주성엔지니어링,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-148783,-277554,-273823,13.01,168000,2026-05-14,167000,-0.60,168000,0.00,178500,6.25,208000,23.81,,,상승 지속,"D+1(2026-05-14) 시가 -0.60%, 종가 +0.00%; D+5 +6.25%; D+10 +23.81%"
2026-05-13,356680,엑스게이트,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct",3,-46264,-95852,-133292,0.53,20100,2026-05-14,19120,-4.88,19030,-5.32,16460,-18.11,23550,17.16,,,상승 지속,"D+1(2026-05-14) 시가 -4.88%, 종가 -5.32%; D+5 -18.11%; D+10 +17.16%"
2026-05-13,108490,로보티즈,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-60644,-134358,-103609,15.26,355500,2026-05-14,363000,2.11,341000,-4.08,258500,-27.29,292500,-17.72,,,하락 전환,"D+1(2026-05-14) 시가 +2.11%, 종가 -4.08%; D+5 -27.29%; D+10 -17.72%"
2026-05-13,131970,두산테스나,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct",4,-7777,-23097,-45836,0.95,182000,2026-05-14,175800,-3.41,190100,4.45,165600,-9.01,153900,-15.44,,,하락 전환,"D+1(2026-05-14) 시가 -3.41%, 종가 +4.45%; D+5 -9.01%; D+10 -15.44%"
2026-05-13,247540,에코프로비엠,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-107473,-137985,-304580,16.13,197100,2026-05-14,205500,4.26,209000,6.04,176700,-10.35,218500,10.86,,,상승 지속,"D+1(2026-05-14) 시가 +4.26%, 종가 +6.04%; D+5 -10.35%; D+10 +10.86%"
2026-05-13,263750,펄어비스,foreign_sell_streak_6,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",6,-639967,-675748,-746551,28.68,51900,2026-05-14,50900,-1.93,50600,-2.50,45400,-12.52,43900,-15.41,,,하락 전환,"D+1(2026-05-14) 시가 -1.93%, 종가 -2.50%; D+5 -12.52%; D+10 -15.41%"
2026-05-14,000660,SK하이닉스,foreign_sell_streak_6,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",6,-815209,-1733068,-3367661,13.50,1970000,2026-05-15,1950000,-1.02,1819000,-7.66,1940000,-1.52,2333000,18.43,,,상승 지속,"D+1(2026-05-15) 시가 -1.02%, 종가 -7.66%; D+5 -1.52%; D+10 +18.43%"
2026-05-14,402340,SK스퀘어,foreign_sell_streak_11,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all",11,-3384,-98531,-125223,0.36,1171000,2026-05-15,1181000,0.85,1098000,-6.23,1179000,0.68,1233000,5.29,,,상승 지속,"D+1(2026-05-15) 시가 +0.85%, 종가 -6.23%; D+5 +0.68%; D+10 +5.29%"
